link,location,"cost, BYN",capacity
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/arenda-pomescheniy-pod-sklad-ili-proizvodstvo-ot-sobstvennika-v-minske.html,"53.868505, 27.509037",306,51
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/pomescheniya-v-minske-pod-sklad-proizvodstvo-v-arendu-ot-sobstvennika.html,"53.866792, 27.510791",700,100
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/sdam-pomeschenie-10-m-kv-pod-sklad.html,"53.844427, 27.560656",100,10
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/pomeschenie-2.html,"53.959095, 27.606327",370,37
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/sklad-2.html,"53.921195, 27.401908",450,70
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/arenda-garazha-ul-olesheva-26b-60.html,"53.949818, 27.592192",130,23
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/arenda-skladskoe-pomescheniya-51-kv-m-alibegova-dom-12-b.html,"53.949818, 27.592192",459,51
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/sdacha-v-arendu-skladskogo-pomescheniya.html,"53.948798, 27.682779",340,34
https://megapolis-real.by/realt/skladskaya-nedvizhimost/arenda/arenda-otaplivaemogo-skladskogo-pomescheniya-63-4-kv-m-ul-tuhachevskogo-11.html,"53.869140, 27.623472",441,63
https://domovita.by/minsk/warehouses/rent/ul-karvata-320?utm_source=listing&utm_medium=site&utm_campaign=nearheadlines#center=53.914600%2C27.672800&zoom=14&type=yandex%23map&balloon=,"53.914245, 27.672843",520,50
https://domovita.by/minsk/warehouses/rent/ul-mogilevskaa-49-3,"53.885951, 27.561979",293,24